1170	1868
583	266
1810	437
1005	348
349	1141
1851	394
349	213
2037	1975
596	1012
1739	803
1605	657
526	1085
1790	2016
396	1585
147	773
761	987
1005	1957
122	1578
1099	595
596	1109
2014	1844
472	1845
1810	1147
1215	642
665	1537
1836	1363
1084	250
1240	1768
275	2045
2014	708
367	610
1238	156
102	498
864	855
1416	862
918	9
1170	1839
751	1347
1099	1038
1739	1921
1908	722
789	1983
65	1064
65	1633
1790	1738
192	2023
1817	699
145	1535
80	319
1329	1311
52	1635
1954	420
1005	998
397	484
972	1478
1896	1052
252	858
1984	95
974	1494
1908	1789
412	6
777	987
573	249
1348	941
1137	252
1232	1947
568	888
1795	891
918	164
1348	626
1329	1959
713	411
1132	1000
1238	1469
1257	1159
568	1173
992	1262
1693	879
1146	1079
52	1803
1139	947
1099	1911
1225	1373
214	1284
836	981
118	1338
899	1333
349	1744
1751	1423
1801	1277
568	738
977	1017
396	1100
542	412
1238	1063
1533	1103
367	1328
884	1477
396	1446
224	788
1005	1621
2047	1856
665	793
1851	1165
652	28
275	1219
13	1067
1533	213
18	1864
1099	450
573	1757
512	1992
1653	263
907	103
777	1384
485	1083
132	1186
1804	780
1926	866
836	689
643	287
1720	1954
665	1727
2037	878
735	646
977	1585
367	392
652	1126
1215	1817
884	1968
899	327
396	773
573	1651
252	774
1836	2028
777	1421
275	361
53	497
1804	1546
2014	1789
713	656
1139	1725
1225	1447
307	1951
214	1799
1124	1914
643	1155
1733	1421
18	194
310	1602
275	1091
1703	23
1817	1772
1183	1376
1225	27
1693	197
367	373
568	286
145	1250
1120	556
1389	1901
65	1252
145	103
192	1354
214	324
13	1157
1836	1244
205	1220
1084	1815
1970	138
1245	102
1389	1058
367	1215
1739	533
884	876
205	634
1739	1723
713	1829
652	2
573	988
396	721
349	1802
864	1546
491	1399
102	1371
1127	1525
972	583
462	1591
735	622
1772	1437
491	641
1533	189
1860	507
397	1783
566	270
899	475
713	510
1389	800
1465	625
1984	1316
974	1874
1831	1333
566	832
974	999
2037	726
52	1529
1820	2047
1851	1811
542	1861
1817	1802
977	1304
2037	1569
1137	1247
1084	1559
1465	1723
1146	742
1954	1594
132	2039
145	959
1303	925
1795	14
1831	1346
214	1293
1240	1715
2014	1887
661	577
80	622
583	1514
789	191
977	649
485	160
899	903
977	1928
1820	378
1616	1815
1389	1472
1303	347
1465	536
1876	1172
118	1201
132	764
1739	1276
1465	653
1810	610
1127	1473
1860	484
1659	633
1201	1242
884	506
1817	1947
1099	235
1595	536
1653	769
80	1871
1254	1484
1215	553
1389	1965
412	1861
1926	702
1733	1567
1005	1389
1896	565
1625	1852
918	383
1801	1733
205	1658
491	112
1703	1094
918	1493
1139	37
1542	217
735	1449
658	1181
992	1649
1732	1001
1201	363
1851	1499
665	2036
192	726
367	1920
512	304
1227	4
1720	768
612	1203
1860	529
585	1855
568	1341
1605	343
1595	1688
397	1740
1127	1110
665	1893
899	793
1863	678
1257	1387
1321	1051
1254	247
396	1890
1863	1910
1804	26
1625	158
485	273
342	1985
918	1832
751	1197
52	1652
585	2019
462	1694
1926	557
132	1873
643	169
367	923
1817	595
568	925
1908	1677
1751	173
1790	791
1439	85
1175	558
1245	830
1238	1280
349	1641
1321	958
1084	950
884	541
1703	16
1257	26
1465	1676
573	1003
972	1064
566	1079
1416	1915
713	948
1954	1074
1693	568
1863	1715
2022	1380
1227	389
1201	3
275	1649
412	317
1240	101
566	325
568	1775
1739	1056
643	1899
1984	1003
904	535
1703	228
1132	258
1238	259
132	871
1303	1183
977	989
1804	1719
1810	1953
102	338
713	330
397	1310
918	1537
1954	1862
1733	679
658	675
566	791
1146	1664
1439	868
1804	1237
1416	258
1801	1956
596	736
192	2015
1720	1370
566	1256
1533	1348
472	1328
1127	18
918	686
974	2042
1389	1932
1595	237
1908	1281
1183	1421
349	1300
918	874
252	1112
907	983
568	370
1329	501
1416	1377
972	1847
1416	1118
864	700
1790	1643
1120	774
864	886
1804	769
1439	1987
899	1396
1175	16
1225	1708
665	1448
1238	173
205	1581
412	1777
2022	20
652	679
1954	1873
349	305
2022	1875
80	783
1795	1426
899	1049
485	171
1876	1057
907	696
1605	1485
275	1752
485	91
65	873
53	816
1348	2025
1175	1113
661	1298
122	1211
665	1618
275	1569
751	1112
1860	2006
1659	1450
643	1243
512	237
1127	1195
1804	266
80	1153
214	1326
1836	1638
1927	1963
20	1386
1465	1038
918	970
1005	1628
1303	1866
1984	306
1201	1806
1720	384
1804	676
118	1714
904	2018
396	292
836	692
1225	59
974	142
1616	1592
2047	93
573	148
972	1739
665	1474
1908	31
1605	1265
661	769
1238	1791
1739	1596
1659	1046
1896	1995
132	20
1348	1423
252	348
1970	1223
977	832
974	1216
80	498
65	1351
836	852
1817	1173
1732	671
1137	1515
485	881
643	1796
1254	37
1175	1303
1084	1890
1908	1324
1183	1937
1595	1045
